Date;Time;Comment;PackIndex;OrderSymbol;OrderOpenPrice;OrderComment;OrderMagicNumber;OrderTicketNumber;OrderProfitPips;OrderTargetProfitPips;PackID;PackProfitPips;PackTargetProfitPips
2015/11/26;0:51:1;BeforePackClose;1;NZDJPY;80.78600000;2_11111;11111;89594310;-46.45000000;-45;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;1;GBPCAD;2.00956000;2_11111;11111;89594308;-166.20000000;-45;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;1;EURAUD;1.46401000;1_11111;11111;89594277;-5.80000000;-50;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;2;EURJPY;130.40400000;3_11111;11111;89594321;-74.16000000;-40;268782956;-208.94000000;-120
2015/11/26;0:51:1;BeforePackClose;2;AUDUSD;0.72601000;3_11111;11111;89594319;-78.00000000;-40;268782956;-208.94000000;-120
2015/11/26;0:51:1;BeforePackClose;2;GBPCHF;1.54581000;3_11111;11111;89594316;-56.78000000;-40;268782956;-208.94000000;-120
2015/11/26;0:51:1;BeforePackClose;3;GBPCHF;1.54363000;2_11111;11111;89594309;-237.77000000;-45;268782913;-320.32000000;-135
2015/11/26;0:51:1;BeforePackClose;3;NZDJPY;80.78600000;2_11111;11111;89594307;-46.45000000;-45;268782913;-320.32000000;-135
2015/11/26;0:51:1;BeforePackClose;3;EURCAD;1.41178000;2_11111;11111;89594297;-36.10000000;-45;268782913;-320.32000000;-135
2015/11/26;0:51:1;BeforePackClose;4;GBPJPY;185.53800000;2_11111;11111;89594304;-103.47000000;-45;268782858;-141.94000000;-145
2015/11/26;0:51:1;BeforePackClose;4;EURCAD;1.41248000;1_11111;11111;89594279;-54.92000000;-50;268782858;-141.94000000;-145
2015/11/26;0:51:1;BeforePackClose;4;AUDNZD;1.10279000;1_11111;11111;89594275;16.45000000;-50;268782858;-141.94000000;-145
2015/11/26;0:51:1;BeforePackClose;5;AUDJPY;89.10500000;2_11111;11111;89594302;-83.94000000;-45;179188576;-226.83000000;-95
2015/11/26;0:51:1;BeforePackClose;5;GBPCAD;2.00987000;1_11111;11111;89594274;-142.89000000;-50;179188576;-226.83000000;-95
2015/11/26;0:51:2;AfterPackClose;0;USDJPY;122.70200000;3_11111;11111;89594317;-25.26000000;-40;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;0;GBPCAD;2.00943000;3_11111;11111;89594313;-175.23000000;-40;358377236;-267.30000000;-170
